index,org,dest,days,visiting_city_number,date,people_number,local_constraint,budget,unsat_number,unsat_reason
11,Hong Kong,"['New York City', 'Bangkok']",5,2,"['2023-12-24', '2023-12-25', '2023-12-26', '2023-12-27', '2023-12-28']",3,"{'flight rule': None, 'airlines': None, 'attraction_category': ['Garden', 'Historical landmark']}",7000,1,"['budget']"
12,Singapore,"['Istanbul', 'Bangkok', 'London']",7,3,"['2023-12-24', '2023-12-25', '2023-12-26', '2023-12-27', '2023-12-28', '2023-12-29', '2023-12-30']",3,"{'flight rule': None, 'airlines': None, 'attraction_category': None}",7000,1,"['budget']"
13,Paris,"['Kuala Lumpur']",3,1,"['2023-12-28', '2023-12-29', '2023-12-30']",2,"{'flight rule': 'non-stop', 'airlines': ['Air France'], 'attraction_category': None}",5000,2,"['non-stop', 'airlines']"
14,New York City,"['Singapore', 'Bangkok']",5,2,"['2023-12-26', '2023-12-27', '2023-12-28', '2023-12-29', '2023-12-30']",1,"{'flight rule': 'non-stop', 'airlines': ['Emirates', 'Qatar Airways'], 'attraction_category': ['Nature preserve']}",5000,2,"['non-stop', 'airlines']"
15,Dubai,"['Istanbul', 'Paris', 'Macau']",7,3,"['2023-12-24', '2023-12-25', '2023-12-26', '2023-12-27', '2023-12-28', '2023-12-29', '2023-12-30']",5,"{'flight rule': 'non-stop', 'airlines': ['Emirates','China Eastern', 'Turkish Airlines'], 'attraction_category': None}",50000,2,"['non-stop', 'airlines']"
16,Hong Kong,"['Paris']",3,1,"['2023-12-25', '2023-12-26', '2023-12-27']",2,"{'flight rule': 'non-stop', 'airlines': ['Turkish Airlines', 'Qatar Airways'], 'attraction_category': ['Botanical garden']}",5000,2,"['non-stop','attraction']"
17,Singapore,"['Paris', 'London']",5,2,"['2023-12-26', '2023-12-27', '2023-12-28', '2023-12-29', '2023-12-30']",2,"{'flight rule': 'non-stop', 'airlines': None, 'attraction_category': ['Hindu temple']}",10000,2,"['non-stop','attraction']"
18,Dubai,"['Istanbul', 'Paris', 'Macau']",7,3,"['2023-12-24', '2023-12-25', '2023-12-26', '2023-12-27', '2023-12-28', '2023-12-29', '2023-12-30']",5,"{'flight rule': 'non-stop', 'airlines': None, 'attraction_category': ['War memorial']}",50000,2,"['non-stop', 'attraction']"
19,Paris,"['Kuala Lumpur']",3,1,"['2023-12-28', '2023-12-29', '2023-12-30']",2,"{'flight rule': 'non-stop', 'airlines': None, 'attraction_category': None}",2000,2,"['non-stop','budget']"
20,New York City,"['Singapore', 'Bangkok']",5,2,"['2023-12-26', '2023-12-27', '2023-12-28', '2023-12-29', '2023-12-30']",1,"{'flight rule': 'non-stop', 'airlines': None, 'attraction_category': ['Nature preserve']}",3000,2,"['non-stop','budget']"
21,Dubai,"['Istanbul', 'Paris', 'Macau']",7,3,"['2023-12-24', '2023-12-25', '2023-12-26', '2023-12-27', '2023-12-28', '2023-12-29', '2023-12-30']",5,"{'flight rule': 'non-stop', 'airlines': None, 'attraction_category': None}",10000,2,"['non-stop','budget']"
22,Dubai,"['Paris']",3,1,"['2023-12-25', '2023-12-26', '2023-12-27']",1,"{'flight rule': 'non-stop', 'airlines': ['United'], 'attraction_category': ['Wildlife park']}",3000,2,"['airlines','attraction']"
23,Istanbul,"['Macau', 'Hong Kong']",5,2,"['2023-12-26', '2023-12-27', '2023-12-28', '2023-12-29', '2023-12-30']",1,"{'flight rule': None, 'airlines': ['United', 'Turkish Airlines'], 'attraction_category': ['Sculpture']}",10000,2,"['airlines','attraction']"
24,Kuala Lumpur,"['Istanbul', 'Paris', 'Dubai']",7,3,"['2023-12-24', '2023-12-25', '2023-12-26', '2023-12-27', '2023-12-28', '2023-12-29', '2023-12-30']",1,"{'flight rule': None, 'airlines': ['Turkish Airlines'], 'attraction_category': ['War memorial']}",50000,2,"['airlines','attraction']"
25,Bangkok,"['Dubai']",3,1,"['2023-12-25', '2023-12-26', '2023-12-27']",2,"{'flight rule': 'non-stop', 'airlines': ['Turkish Airlines'], 'attraction_category': None}",3000,2,"['airlines','budget']"
26,Hong Kong,"['New York City', 'Bangkok']",5,2,"['2023-12-24', '2023-12-25', '2023-12-26', '2023-12-27', '2023-12-28']",3,"{'flight rule': None, 'airlines': ['Qatar Airways', 'AirAsia'], 'attraction_category': ['Garden', 'Historical landmark']}",7000,2,"['airlines','budget']"
27,Singapore,"['Istanbul', 'Bangkok', 'London']",7,3,"['2023-12-24', '2023-12-25', '2023-12-26', '2023-12-27', '2023-12-28', '2023-12-29', '2023-12-30']",3,"{'flight rule':  ['Turkish Airlines'], 'airlines': None, 'attraction_category': None}",7000,2,"['airlines','budget']"
28,Hong Kong,"['Paris']",3,1,"['2023-12-25', '2023-12-26', '2023-12-27']",2,"{'flight rule': 'non-stop', 'airlines': ['Air France'], 'attraction_category': ['Botanical garden']}",2000,2,"['attraction','budget']"
29,Singapore,"['Paris', 'London']",5,2,"['2023-12-26', '2023-12-27', '2023-12-28', '2023-12-29', '2023-12-30']",2,"{'flight rule': None, 'airlines': ['Singapore Airlines', 'British Airways'], 'attraction_category': ['Hindu temple']}",4000,2,"['attraction','budget']"
30,Macau,"['Hong Kong', 'Bangkok', 'Singapore']",7,3,"['2023-12-24', '2023-12-25', '2023-12-26', '2023-12-27', '2023-12-28', '2023-12-29', '2023-12-30']",2,"{'flight rule': None, 'airlines': None, 'attraction_category': ['Public library', 'Memorial park']}",7000,2,"['attraction','budget']"
31,Hong Kong,"['Paris']",3,1,"['2023-12-25', '2023-12-26', '2023-12-27']",2,"{'flight rule': 'non-stop', 'airlines': ['Turkish Airlines', 'Qatar Airways'], 'attraction_category': ['Botanical garden']}",5000,3,"['non-stop', 'airlines','attraction']"
32,Singapore,"['Paris', 'London']",5,2,"['2023-12-26', '2023-12-27', '2023-12-28', '2023-12-29', '2023-12-30']",2,"{'flight rule': 'non-stop', 'airlines': ['Turkish Airlines'], 'attraction_category': ['Hindu temple']}",2000,3,"['non-stop','airlines','attraction']"
33,New York City,"['Singapore', 'Bangkok']",5,2,"['2023-12-26', '2023-12-27', '2023-12-28', '2023-12-29', '2023-12-30']",1,"{'flight rule': 'non-stop', 'airlines': ['Emirates', 'Qatar Airways'], 'attraction_category': ['Nature preserve']}",3000,3,"['non-stop', 'airlines','budget']"
34,Dubai,"['Istanbul', 'Paris', 'Macau']",7,3,"['2023-12-24', '2023-12-25', '2023-12-26', '2023-12-27', '2023-12-28', '2023-12-29', '2023-12-30']",5,"{'flight rule': 'non-stop', 'airlines': ['Emirates','China Eastern', 'Turkish Airlines'], 'attraction_category': None}",10000,3,"['non-stop', 'airlines','budget']"
35,Dubai,"['Paris']",3,1,"['2023-12-25', '2023-12-26', '2023-12-27']",1,"{'flight rule': 'non-stop', 'airlines': ['United'], 'attraction_category': ['Wildlife park']}",3000,3,"['airlines','attraction','budget']"
36,Kuala Lumpur,"['Istanbul', 'Paris', 'Dubai']",7,3,"['2023-12-24', '2023-12-25', '2023-12-26', '2023-12-27', '2023-12-28', '2023-12-29', '2023-12-30']",1,"{'flight rule': None, 'airlines': ['Turkish Airlines'], 'attraction_category': ['War memorial']}",3000,3,"['airlines','attraction','budget']"
37,New York City,"['Singapore', 'Bangkok']",5,2,"['2023-12-26', '2023-12-27', '2023-12-28', '2023-12-29', '2023-12-30']",1,"{'flight rule': 'non-stop', 'airlines': None, 'attraction_category': ['Nature preserve', 'Anglican church']}",3000,3,"['non-stop','attraction','budget']"
38,Dubai,"['Istanbul', 'Paris', 'Macau']",7,3,"['2023-12-24', '2023-12-25', '2023-12-26', '2023-12-27', '2023-12-28', '2023-12-29', '2023-12-30']",5,"{'flight rule': 'non-stop', 'airlines': None, 'attraction_category': ['Anglican church']}",10000,3,"['non-stop','attraction','budget']"
39,Hong Kong,"['Paris']",3,1,"['2023-12-25', '2023-12-26', '2023-12-27']",2,"{'flight rule': 'non-stop', 'airlines': ['Turkish Airlines', 'Qatar Airways'], 'attraction_category': ['Botanical garden']}",2000,4,"['non-stop', 'airlines','attraction','budget']"

